app_num,main_IPC,IPC,pub_date,pub_num,app_date,priority,Int_filing,Int_pub,entry_date,initial_app_num,tech_div,IPCcount,SingleIPC,IPCcount_unique,total_applicant,collaboration_applicant,type1_company,type2_university,type3_individual,total_inventers,collaboration_inventer,if_agency,total_agents,app_year,total_claims,paid_claims,patent_status_n,nation_province_code_2,Chinese,priority_d,divisional_app,substantive_review,app_withdraw,reject,recover,decision_made,grant,waive,terminate,pub_date_c,grant_c,reject_c,subrev_withdraw_dur,app_withdraw_c,pub_grant_dur,pub_reject_dur,substantive_review_c,event,event_date,start_end_dur,age_at_subreview,age_at_event
CN00118464.4,A23G9/08,A23G9/08;F25B21/02,2002.01.09,CN1329838A,2000-06-30,NA,NA,NA,NA,0,0.5,2,0,2,1,0,1,0,0,1,0,1,1,2000,8,0,2,81,1,0,0,2003-07-30,2005-04-20,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,20.71232877,2005-04-20,NA,NA,2003-07-30,1,2005-04-20,20.71232877,36.98630137,57.69863014
CN01108608.4,A47B96/20,A47B96/20;B44C1/00,2002.01.09,CN1329864A,2001-07-09,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,0,0,2001,2,0,2,51,1,0,0,2002-01-16,NA,2005-02-09,NA,NA,NA,NA,NA,2002-01-09,NA,2005-02-09,NA,NA,NA,37.05205479,2002-01-16,2,2005-02-09,36.82191781,6.279452055,43.10136986
CN01122997.7,A24B3/14,A24B3/14,2002.01.09,CN1329855A,2001-07-31,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,5,1,1,1,2001,5,0,2,13,1,0,0,2004-03-03,2005-06-15,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,15.41917808,2005-06-15,NA,NA,2004-03-03,1,2005-06-15,15.41917808,31.10136986,46.52054795
CN01127694.0,A01G1/04,A01G1/04,2002.01.09,CN1329816A,2001-08-03,NA,NA,NA,NA,0,0,1,1,1,1,0,0,0,1,1,0,1,1,2001,5,0,2,44,1,0,0,2001-11-28,2004-06-02,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,30.14794521,2004-06-02,NA,NA,2001-11-28,1,2004-06-02,30.14794521,3.846575342,33.99452055
CN00113529.5,A61K35/78,A61K35/78;A61P17/16,2002.01.16,CN1330939A,2000-07-05,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2000,1,0,2,43,1,0,0,2003-01-01,2004-10-20,NA,NA,NA,NA,NA,NA,2002-01-16,NA,NA,21.63287671,2004-10-20,NA,NA,2003-01-01,1,2004-10-20,21.63287671,29.91780822,51.55068493
CN00118448.2,A63B67/04,A63B67/04;A63B71/06,2002.01.09,CN1329930A,2000-06-23,NA,NA,NA,NA,0,0,2,0,1,1,0,0,0,1,1,0,0,0,2000,6,0,2,22,1,0,0,2001-05-23,2004-07-14,NA,NA,NA,NA,NA,NA,2002-01-09,NA,NA,37.74246575,2004-07-14,NA,NA,2001-05-23,1,2004-07-14,37.74246575,10.98082192,48.72328767
CN02111187.1,A01N25/08,A01N25/08;C03C12/00;C02F1/50,2002.10.16,CN1373998A,2002-03-28,NA,NA,NA,NA,0,0.666666667,3,0,3,1,0,1,0,0,6,1,1,1,2002,9,0,2,31,1,0,0,2002-07-17,2004-10-06,NA,NA,NA,NA,NA,NA,2002-10-16,NA,NA,26.69589041,2004-10-06,NA,NA,2002-07-17,1,2004-10-06,26.69589041,3.649315068,30.34520548
CN02106846.1,A61K31/16,A61K31/16;A61P17/00;C07C233/18,2002.10.16,CN1374078A,2002-03-06,2001.03.06 JP 61695/2001,NA,NA,NA,0,0.666666667,3,0,3,1,0,1,0,0,6,1,1,1,2002,14,1,1,JP,0,1,0,2004-04-28,NA,NA,NA,NA,2008-03-05,NA,NA,2002-10-16,2008-03-05,NA,NA,NA,64.66849315,NA,2004-04-28,3,2008-03-05,46.25753425,25.77534247,72.03287671
CN02114002.2,A01N43/20,A01N43/20;C07D303/48,2002.10.16,CN1373999A,2002-03-22,NA,NA,NA,NA,0,0.5,2,0,2,1,0,0,0,1,1,0,1,1,2002,5,0,2,43,1,0,0,2002-07-17,2004-12-01,NA,NA,NA,NA,NA,NA,2002-10-16,NA,NA,28.5369863,2004-12-01,NA,NA,2002-07-17,1,2004-12-01,28.5369863,3.846575342,32.38356164
CN01122136.4,A44C5/00,A44C5/00,2002.10.16,CN1374051A,2001-07-02,2001.03.12 JP 68165/01,NA,NA,NA,0,0,1,1,1,1,0,1,0,0,1,0,1,2,2001,2,0,2,JP,0,1,0,2003-12-17,NA,NA,NA,NA,2005-05-11,NA,2013-08-28,2002-10-16,2005-05-11,NA,NA,NA,30.83835616,NA,2003-12-17,3,2005-05-11,16.8,29.52328767,46.32328767
